박찬도,삼성,0.271,29,68,59,10,16,4,1,0,22,5,1,0
강민호,삼성,0.252,42,162,143,15,36,6,0,7,63,21,0,4
배영섭,삼성,0.247,35,111,97,7,24,4,0,0,28,8,2,0
이성곤,삼성,0.231,8,16,13,1,3,0,0,0,3,0,0,0
조동찬,삼성,0.229,17,37,35,1,8,1,0,0,9,0,1,0
김성훈,삼성,0.19,33,68,58,5,11,2,0,0,13,6,2,1
이지영,삼성,0.176,19,41,34,1,6,2,0,0,8,3,2,0
최영진,삼성,0.125,11,18,16,1,2,1,0,0,3,2,0,1
권정웅,삼성,0,4,8,8,0,0,0,0,0,0,0,0,0
김성윤,삼성,0,1,2,2,0,0,0,0,0,0,0,0,0
김응민,삼성,0,1,1,1,0,0,0,0,0,0,0,0,0
안주형,삼성,0,2,1,1,0,0,0,0,0,0,0,0,0
이성열,한화,0.347,33,128,118,18,41,6,1,6,67,25,0,0
이용규,한화,0.327,43,187,159,28,52,5,1,0,59,7,2,2
호잉,한화,0.327,43,179,156,32,51,13,1,12,102,34,0,1
송광민,한화,0.325,44,181,169,30,55,11,0,6,84,35,0,4
김태균,한화,0.301,32,131,123,10,37,5,0,4,54,15,0,0
정근우,한화,0.286,35,126,112,14,32,6,1,2,46,12,1,1
양성우,한화,0.274,44,168,146,25,40,7,0,1,50,9,0,1
지성준,한화,0.266,29,67,64,5,17,2,0,1,22,6,0,0
김민하,한화,0.25,6,12,12,1,3,0,0,0,3,2,0,0
김태연,한화,0.25,5,4,4,1,1,0,0,0,1,0,0,0
장진혁,한화,0.25,9,8,8,3,2,0,1,0,4,0,0,0
오선진,한화,0.247,30,89,81,8,20,3,0,1,26,6,1,0
하주석,한화,0.245,43,173,163,17,40,4,1,4,58,15,1,0
김회성,한화,0.217,15,27,23,2,5,1,0,1,9,6,0,0
최진행,한화,0.184,13,44,38,4,7,1,0,1,11,3,0,0
최재훈,한화,0.173,38,112,98,9,17,5,0,0,22,11,2,2
정은원,한화,0.16,17,27,25,3,4,0,0,1,7,3,0,1
백창수,한화,0.136,9,26,22,3,3,2,0,0,5,3,0,0
강상원,한화,0,5,5,5,0,0,0,0,0,0,0,0,0
안영명,한화,,1,0,0,0,0,0,0,0,0,0,0,0
이동걸,한화,,1,0,0,0,0,0,0,0,0,0,0,0
이동훈,한화,0,7,3,3,1,0,0,0,0,0,0,0,0
정경운,한화,0,15,11,10,0,0,0,0,0,0,1,0,1
최윤석,한화,,1,0,0,0,0,0,0,0,0,0,0,0
한승택,KIA,1,2,1,1,0,1,0,0,0,1,0,0,0
유재신,KIA,0.636,20,13,11,9,7,2,0,0,9,1,0,0
안치홍,KIA,0.371,35,149,132,25,49,11,0,9,87,38,0,2
최형우,KIA,0.364,44,183,162,27,59,10,1,7,92,29,0,2
정성훈,KIA,0.351,33,82,74,10,26,6,0,2,38,10,0,0
김선빈,KIA,0.313,44,168,150,21,47,10,1,1,62,21,2,1
김주찬,KIA,0.305,41,173,154,26,47,9,0,6,74,30,1,4
이명기,KIA,0.302,43,176,159,29,48,12,2,1,67,17,4,1
백용환,KIA,0.294,25,38,34,5,10,0,0,0,10,3,1,0
버나디나,KIA,0.29,40,178,162,32,47,6,1,7,76,23,0,0
최정민,KIA,0.286,19,24,21,6,6,0,0,2,12,2,0,0
김민식,KIA,0.276,42,137,116,20,32,4,1,4,50,19,5,0
나지완,KIA,0.259,42,164,139,25,36,7,0,9,70,29,0,1
홍재호,KIA,0.25,8,21,20,3,5,1,0,1,9,1,0,0
이범호,KIA,0.241,28,99,87,10,21,2,0,5,38,19,0,0
황윤호,KIA,0.24,30,27,25,4,6,1,0,0,7,2,2,0
서동욱,KIA,0.238,30,48,42,3,10,3,0,0,13,2,0,1
최원준,KIA,0.236,20,60,55,7,13,4,0,1,20,5,2,0
이영욱,KIA,0.125,13,16,16,0,2,0,0,0,2,1,0,0
김세현,KIA,,1,0,0,0,0,0,0,0,0,0,0,0
김유신,KIA,,2,0,0,0,0,0,0,0,0,0,0,0
김주형,KIA,0,2,4,4,0,0,0,0,0,0,0,0,0
김지성,KIA,,1,0,0,0,0,0,0,0,0,0,0,0
문경찬,KIA,,3,0,0,0,0,0,0,0,0,0,0,0
오준혁,KIA,0,2,5,5,0,0,0,0,0,0,0,0,0
유승철,KIA,0,2,1,1,0,0,0,0,0,0,0,0,0
임창용,KIA,,1,0,0,0,0,0,0,0,0,0,0,0
황인준,KIA,0,1,1,1,0,0,0,0,0,0,0,0,0
유한준,KT,0.363,43,171,157,22,57,9,0,9,93,30,1,0
황재균,KT,0.32,46,199,178,25,57,13,3,5,91,22,0,1
박기혁,KT,0.303,32,73,66,7,20,1,0,0,21,10,1,1
오태곤,KT,0.292,45,116,106,21,31,7,0,5,53,13,0,0
이진영,KT,0.292,33,70,65,9,19,3,1,1,27,8,0,0
이해창,KT,0.286,29,67,63,9,18,3,0,4,33,13,1,0
로하스,KT,0.28,46,209,189,26,53,13,0,11,99,30,0,0
심우준,KT,0.277,42,129,119,15,33,7,0,2,46,11,1,0
강백호,KT,0.273,44,167,150,28,41,14,0,6,73,25,0,2
박경수,KT,0.271,45,193,166,27,45,9,0,8,78,22,0,0
윤석민,KT,0.259,44,179,158,23,41,9,0,7,71,21,0,2
이준수,KT,0.25,8,10,8,0,2,0,0,0,2,1,1,0
전민수,KT,0.235,10,20,17,0,4,2,0,0,6,3,0,0
정현,KT,0.233,22,49,43,4,10,3,0,0,13,0,2,0
홍현빈,KT,0.231,14,15,13,2,3,0,0,0,3,1,0,0
이창진,KT,0.222,8,9,9,3,2,0,0,0,2,0,0,0
김지열,KT,0.211,15,20,19,3,4,2,0,0,6,0,0,0
장성우,KT,0.211,41,106,95,8,20,5,0,4,37,12,0,0
김동욱,KT,0,7,6,5,2,0,0,0,0,0,0,0,0
김재윤,KT,,1,0,0,0,0,0,0,0,0,0,0,0
오정복,KT,0,5,7,7,0,0,0,0,0,0,0,0,0
이천웅,LG,0.375,21,55,48,8,18,3,0,0,21,3,1,0
이형종,LG,0.363,26,115,102,19,37,8,0,2,51,10,1,0
가르시아,LG,0.356,20,85,73,10,26,3,0,3,38,15,0,3
김현수,LG,0.353,48,214,187,39,66,17,2,8,111,30,0,1
채은성,LG,0.318,47,189,179,30,57,15,0,8,96,35,0,2
정주현,LG,0.316,30,45,38,10,12,1,0,0,13,2,0,0
오지환,LG,0.292,48,210,185,29,54,7,1,4,75,28,5,2
박용택,LG,0.286,47,207,182,26,52,14,1,3,77,19,0,3
유강남,LG,0.277,43,161,148,22,41,9,0,8,74,24,0,0
양석환,LG,0.275,46,170,160,20,44,7,0,9,78,30,0,4
임훈,LG,0.258,23,34,31,5,8,0,0,1,11,2,1,0
김재율,LG,0.25,3,6,4,1,1,0,0,0,1,0,0,0
윤대영,LG,0.25,8,20,20,0,5,1,0,0,6,3,0,0
