잠실 구장,서울 송파구,100,125,100,3,27000
삼성라이온즈파크,대구 수성구,99,122,99,3,24000
인천 문학 구장,인천 남구,95,120,95,3,27600
부산 사직 구장,부산 동래구,95,118,95,5,28500
대전 한밭 구장,대전 중구,100,122,100,4,13000
고척 스카이돔,서울 구로구,100,125,100,3,18000
마산 구장,경남 창원시 마산회원구,97,116,97,4,14164
광주 무등 경기장,광주 북구,99,120,99,3,13400
케이티위즈파크,경기 수원시 장안구,98,120,98,2,20122
